5002,2,0,3,12,137,48,117,69,1857,56,2,21,82,62,96,0,105,160,168,38,392,1007,117
5003,0,1,1,0,25,10,17,26,354,5,1,7,22,16,19,0,8,38,38,12,72,188,33
5004,0,1,0,0,21,16,17,11,163,8,0,3,4,19,3,0,5,37,18,3,37,63,77
5005,0,0,0,1,1,1,1,1,38,0,0,2,1,1,0,0,1,5,4,2,8,13,5
5006,1,2,2,2,51,20,25,26,415,18,0,5,5,15,6,0,12,33,23,6,59,172,20
5007,3,2,1,1,26,16,10,11,211,1,0,5,2,8,8,0,10,19,14,8,47,83,44
5008,0,0,0,0,0,0,0,2,10,0,0,1,0,0,0,0,0,2,2,0,0,6,3
5009,1,0,3,2,72,13,44,58,930,5,5,8,21,26,15,0,37,47,72,16,212,375,28
5010,0,2,0,17,154,25,89,103,1135,17,2,10,23,60,31,0,17,68,57,36,211,428,36
5011,0,0,1,0,13,2,5,9,142,1,0,4,1,2,1,0,3,9,7,0,19,39,13
5012,0,0,0,0,3,0,0,0,15,0,0,1,1,0,0,0,0,6,1,1,3,11,10
5013,0,2,0,0,0,0,0,2,28,0,0,1,0,0,0,0,0,5,4,1,5,15,13
5014,1,0,0,0,10,1,3,6,94,0,0,1,2,2,1,0,1,12,9,0,23,44,9
5015,2,0,0,0,1,0,0,1,20,0,0,0,1,0,1,0,0,4,3,0,3,9,1
5016,0,0,0,0,4,6,0,1,31,0,0,1,0,0,0,0,0,5,3,3,5,15,21
5017,1,2,4,2,121,30,73,63,1406,15,1,12,25,51,24,0,55,108,109,31,345,488,56
5018,2,11,8,96,591,164,276,363,3721,107,15,43,141,236,301,1,147,304,437,113,764,1582,109
5019,0,0,0,3,9,3,9,10,116,0,0,3,5,7,3,0,6,13,6,5,31,52,12
5020,1,17,4,4,87,28,52,40,1126,39,2,14,31,44,38,0,32,93,67,30,205,414,80
5021,0,0,1,0,5,2,4,8,85,1,0,2,0,10,0,0,3,11,9,0,9,33,5
5022,0,2,4,3,27,16,20,29,408,13,1,7,13,22,10,0,9,44,32,12,66,191,37
5023,0,12,1,1,14,5,2,9,143,1,1,4,2,4,0,0,3,18,8,2,27,38,13
5024,1,2,2,2,87,21,32,33,653,7,1,8,17,28,22,0,18,68,55,27,126,227,34
5025,3,2,8,37,152,114,186,153,2120,99,9,34,126,120,170,1,115,195,380,56,612,1318,106
5026,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,1,0,2,6,2
5027,0,3,2,18,93,67,160,107,1053,47,0,17,54,61,45,0,71,107,63,23,287,387,45
5028,1,44,3,21,90,33,54,93,992,12,6,22,39,40,66,0,27,81,75,25,246,470,95
5029,0,0,0,0,8,3,6,0,43,1,0,3,1,0,0,0,1,5,4,2,3,8,15
5030,13,13,14,224,1094,573,891,883,10407,173,34,114,463,639,691,2,616,1065,1378,286,2227,4836,372
5031,0,0,1,4,42,17,18,30,450,5,0,4,12,25,11,0,11,25,36,12,60,181,11
5032,0,4,1,8,60,28,36,23,642,10,0,14,25,25,34,0,18,69,68,20,162,328,56
5033,5,2,5,6,125,38,74,52,1206,12,8,12,18,33,35,0,49,97,101,31,289,460,64
5034,0,15,1,0,5,2,2,4,111,2,0,4,2,0,0,0,3,8,5,6,21,28,11
5035,27,17,14,224,707,440,832,1278,9874,187,47,97,430,522,950,5,607,1006,1599,356,3506,4509,277
5036,0,0,1,1,4,0,1,1,80,0,1,2,1,2,0,0,1,11,10,1,13,12,20
5037,0,0,0,1,8,2,10,7,92,1,0,2,1,5,2,0,3,11,7,1,20,50,8
5038,2,0,0,1,21,9,13,12,183,4,0,5,8,7,8,0,7,19,14,3,56,99,24
6001,9,1,2,4,69,23,21,35,517,3,0,8,11,14,10,0,18,46,39,10,229,203,33
6002,13,7,16,143,433,165,303,404,3601,60,23,74,181,228,381,1,220,326,748,134,1671,1946,277
6003,4,2,0,2,110,14,37,18,331,0,0,4,4,20,11,0,16,24,41,12,168,107,27
6004,8,0,1,3,57,6,28,21,309,2,0,4,3,9,4,0,13,26,26,14,139,119,13
6005,4,0,0,3,63,11,35,19,489,4,2,10,14,20,8,0,23,40,42,15,170,156,42
6006,2,0,1,0,10,1,5,6,120,1,1,2,1,2,1,0,4,9,6,2,47,35,11
6007,92,15,18,71,280,55,165,216,3138,504,17,40,109,173,185,1,221,243,289,84,1316,1269,108
6008,5,2,0,2,17,0,9,10,150,2,0,3,8,2,5,0,6,7,8,5,61,50,10
6009,43,3,6,28,204,70,107,225,2134,27,4,21,62,59,80,0,105,168,160,47,699,860,72
6010,8,7,2,64,205,77,155,105,1677,11,3,14,54,85,82,0,119,150,176,40,847,1009,55
