Key,112,114,115,211,212,213,221,222,236,237,238,311,312,313,314,315,316,321,322,323,324,325,326,327,331,332,333,334,335,336,337,339,431,432,433,434,435,436,437,461,462,463,464,465,466,467,468,469,481,482,483,484,485,486,487,488,491,492,493,511,512,515,517,518,519,521,522,523,524,531,532,533,541,551,561,562,611,621,622,623,624,711,712,713,721,722,811,812,813,931,932
1010,1,0,0,0,0,0,1,0,0,0,0,12,1,0,2,2,0,2,0,1,0,0,0,0,0,4,0,0,0,1,1,0,1,0,0,4,0,0,0,86,1,29,6,10,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,2,0,7,0,11,4,3,0,5,1,1,2,0,42,19,13,8,14,0
1011,0,0,0,0,0,1,0,1,0,0,0,39,5,0,1,4,0,4,2,3,0,2,4,0,0,22,2,0,0,6,10,4,11,2,1,19,1,0,0,174,18,77,11,54,18,20,15,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,1,0,3,2,0,11,3,0,7,0,20,0,24,26,1,0,10,4,0,8,3,143,81,60,11,13,0
2001,9,152,31,0,21,4,6,13,61,33,26,414,90,2,18,148,1,33,13,83,1,8,12,60,0,187,11,8,2,14,87,52,118,14,30,343,97,17,3,2753,567,888,310,752,1174,332,529,7,3,0,0,49,49,0,6,64,5,19,4,2,7,13,42,1,20,0,191,50,63,246,161,0,685,0,381,7,723,824,44,28,232,27,7,269,144,1799,1910,1117,744,389,0
2002,8,21,16,0,10,0,21,14,108,60,73,699,248,3,14,104,2,85,32,159,1,21,33,102,10,339,22,26,10,32,154,101,181,17,71,598,209,40,4,4750,594,1001,593,1032,1437,467,1064,2,0,1,0,126,39,0,3,90,2,28,29,7,14,25,69,1,22,0,393,175,89,414,348,0,860,2,542,9,1157,1727,78,34,294,36,8,280,143,3280,3807,2084,862,545,0
2003,0,0,1,0,2,0,1,2,5,3,3,70,31,2,0,18,4,11,4,14,0,5,14,74,1,67,5,18,9,5,20,19,15,1,5,70,7,3,1,509,49,241,42,147,197,69,79,1,0,0,0,19,9,0,0,24,0,5,0,2,1,2,9,0,7,0,46,25,11,39,16,0,71,0,57,2,138,114,11,4,37,4,2,36,22,337,292,195,174,158,0
2004,1,0,20,0,4,0,10,14,126,67,102,972,305,7,37,189,17,101,75,279,0,45,125,138,16,543,33,103,51,36,277,213,485,45,157,754,325,53,6,8682,1020,2466,952,2553,2359,859,1197,17,0,1,0,178,99,0,5,318,3,61,26,19,21,19,101,4,30,0,562,262,184,717,301,0,1823,4,1461,16,1839,2855,128,89,544,45,10,490,284,5019,4727,3738,1693,554,0
2005,0,6,1,0,0,0,0,4,5,4,3,67,23,1,4,12,2,18,24,9,0,1,2,39,0,61,2,2,1,0,47,9,9,0,0,60,3,3,0,592,61,123,53,229,200,86,85,1,0,0,0,1,3,0,1,7,0,3,0,0,1,1,7,0,4,0,29,11,9,59,23,0,81,0,89,1,143,124,13,4,38,8,2,45,40,525,377,247,147,129,0
3001,1,251,4,0,1,0,3,6,2,1,1,97,40,0,1,11,0,5,1,9,0,0,1,23,0,50,0,0,0,1,14,7,34,1,4,54,13,3,1,506,141,249,27,129,131,63,123,0,2,0,0,13,2,0,0,5,1,4,0,1,0,2,7,0,5,0,35,0,1,45,24,0,54,0,40,0,93,59,11,3,25,4,1,23,28,424,415,149,95,118,0
3002,13,165,1,0,7,0,5,7,1,2,5,216,25,1,1,8,0,11,2,8,0,1,0,10,0,32,0,0,0,0,17,4,17,0,4,30,7,1,0,431,38,171,35,83,101,33,53,2,3,0,1,12,6,0,3,3,2,3,0,1,0,2,7,0,8,0,18,0,1,28,18,0,41,0,25,1,74,48,13,1,18,3,4,21,78,289,203,115,85,130,0
3003,9,102,5,0,10,0,7,18,95,50,28,304,77,1,11,66,5,67,14,62,1,2,11,58,1,262,2,0,1,5,72,49,106,10,36,177,71,14,0,1503,403,471,166,428,299,239,337,0,2,0,0,71,24,0,40,29,1,21,5,8,7,8,21,0,14,0,209,4,32,229,96,0,469,1,227,4,391,493,29,13,149,23,12,160,104,1613,1324,700,307,311,0
3008,0,8,4,0,2,0,4,5,55,9,17,194,90,0,10,35,2,51,13,45,0,5,2,65,2,144,1,0,0,1,77,23,74,4,24,161,47,11,1,1518,524,517,215,952,359,206,228,4,5,0,0,27,25,0,67,17,0,20,3,6,6,4,22,2,4,0,209,11,16,207,149,0,325,0,280,7,360,298,28,1,143,18,6,132,165,1501,920,716,234,176,0
